symbol,keep,remove_reason,latest_date,latest_close,avg_amount,avg_turnover,avg_volatility,price_range_60d,recent_20d_return,avg_main_force_score,avg_rainbow_score
688256,True,,2026-05-13,1316.88,11176793318.109667,2.084121666666667,0.058905089306411584,1.03099173553719,0.0797461504403012,20.5,29.0
688313,True,,2026-05-13,179.66,3968322265.3575,8.172865000000002,0.0520797701344349,1.5918918918918918,0.5381849315068494,40.5,50.0
688205,True,,2026-05-13,296.33,2792530136.673333,8.280646666666668,0.06634551650941324,1.0864429530201343,0.2690792291220556,41.333333333333336,80.66666666666667
688270,True,,2026-04-17,175.16,2763151185.457667,7.339993333333333,0.05426509315824112,0.7014925373134329,0.19408275956097887,29.5,39.333333333333336
688158,True,,2026-05-13,50.87,2528543131.8736663,13.964589999999996,0.06266987299507722,0.6108597285067874,0.13069571015781278,36.0,74.33333333333333
688195,True,,2026-05-13,373.66,2417296940.1786666,6.561273333333333,0.055400481225510306,1.1713982085926822,0.13640096104133104,37.5,77.66666666666667
688167,True,,2026-05-13,516.7,2388895273.477333,7.403913333333333,0.06296536332528399,0.9404034795483993,0.2898152770843734,37.5,70.66666666666667
688223,True,,2026-05-13,7.61,1851945431.9493334,2.441098333333333,0.03741553259304187,0.5914332784184513,0.14092953523238383,15.166666666666666,37.666666666666664
688183,True,,2026-05-13,107.49,1732560655.9796667,2.1677416666666662,0.039216864901329314,0.6568455196648197,0.013769687824200627,17.666666666666668,32.666666666666664
688343,True,,2026-05-13,86.8,1498309603.2299998,5.663423333333333,0.05120096117129948,0.49444293846570897,0.006493506493506551,23.166666666666668,38.0
688123,True,,2026-05-13,168.36,1228944432.4841666,6.036296666666667,0.04637029870688323,0.7012577359402083,0.45790393506495874,26.166666666666668,14.666666666666666
688268,True,,2026-05-13,172.49,1123770819.2048333,8.359883333333332,0.07078726193496891,2.4975377544320416,0.7606410125548639,40.5,82.66666666666667
688122,True,,2026-05-13,67.78,1117128885.7746665,2.2605799999999996,0.026495155843495787,0.537950506560372,-0.058349541539316485,10.666666666666666,19.333333333333332
688249,True,,2026-05-13,36.79,1101651355.7651668,2.6495999999999995,0.0344692257416833,0.47400379506641377,0.23997303673744508,16.333333333333332,19.666666666666668
688308,True,,2026-05-13,112.58,1089226501.6174998,7.865791666666666,0.06832235206779827,1.5317030945682752,0.18680160236137455,42.833333333333336,77.33333333333333
688331,True,,2026-05-13,119.05,1075373119.7203333,5.248735,0.04183023129934669,0.7815021020338595,-0.18620548226126188,27.5,65.0
688295,True,,2026-05-13,59.58,1016338324.0683333,2.105665,0.06040298524736337,1.2990718459951873,0.13507334730424825,24.333333333333332,60.0
688120,True,,2026-05-13,250.71,978311883.2558333,1.463938333333333,0.03201837299185921,0.6068632976391761,0.39991065944497173,16.666666666666668,39.333333333333336
688141,True,,2026-05-13,109.1,971606920.3166667,3.2355650000000007,0.052041117286914,1.6318513290990357,0.7295497780596067,23.5,66.0
688126,True,,2026-05-13,25.56,938322543.0596668,1.6361333333333332,0.032010183127464495,0.6183022275737506,0.44733861834654576,16.5,18.0
688234,True,,2026-05-13,146.63,933406840.7803334,2.2140500000000003,0.040685408151007955,1.08008356545961,0.571260180025718,18.666666666666668,35.0
688146,True,,2026-05-13,117.6,885484407.3503335,9.662426666666668,0.05235698494833617,1.934131736526946,0.9332566168009206,35.333333333333336,54.666666666666664
688220,True,,2026-05-13,110.52,860494593.0263332,2.673068333333333,0.045625722294856876,0.6910359472167449,0.5026512576478586,18.333333333333332,26.333333333333332
688235,True,,2026-05-13,260.8,843445437.3523334,2.98428,0.029375214277494774,0.3672244878826232,0.07790865881380471,16.0,10.666666666666666
688200,True,,2026-05-13,399.27,819564716.2133334,2.052316666666667,0.03675785515093987,0.651153379198705,0.4170067785782732,17.666666666666668,73.66666666666667
688213,True,,2026-05-13,100.5,792336379.9798332,2.6914749999999996,0.029012577902091396,0.3815185085112134,0.08636904118473665,14.333333333333334,17.333333333333332
688333,True,,2026-05-13,95.02,783068290.7758334,2.9917500000000006,0.03126862616944069,0.4396076026977316,0.046245320414005864,13.833333333333334,14.0
688275,True,,2026-05-13,155.0,779838565.2771666,6.394646666666666,0.04011371238219003,1.3346303501945527,0.22432859399684046,32.833333333333336,84.0
