symbol,reason
sh.688219,成交额过低：88960058
sh.688225,成交额过低：92075546
sh.688230,成交额过低：136745992
sh.688232,成交额过低：62845282
sh.688236,成交额过低：38030468
sh.688237,成交额过低：73890740
sh.688238,成交额过低：59499697
sh.688244,成交额过低：39904629
sh.688246,成交额过低：101397333
sh.688247,成交额过低：19941642
sh.688251,成交额过低：104839770
sh.688253,成交额过低：175572523
sh.688255,成交额过低：113843140
sh.688259,成交额过低：109400346
sh.688265,成交额过低：21634310
sh.688267,成交额过低：135437748
sh.688269,成交额过低：109531685
sh.688272,成交额过低：142910318
sh.688273,成交额过低：78404172
sh.688276,成交额过低：38733857
sh.688277,成交额过低：162790423
sh.688283,成交额过低：147324716
sh.688285,成交额过低：43943668
sh.688286,成交额过低：174090240
sh.688287,成交额过低：117887127
sh.688288,成交额过低：85193672
sh.688289,成交额过低：92549188
sh.688290,成交额过低：153965011
sh.688291,成交额过低：162959569
sh.688292,成交额过低：125142134
sh.688293,成交额过低：81583888
sh.688296,成交额过低：36346864
sh.688298,成交额过低：78187967
sh.688302,成交额过低：72673821
sh.688306,成交额过低：154714634
sh.688310,成交额过低：77980107
sh.688314,成交额过低：80084221
sh.688315,成交额过低：60704027
sh.688317,成交额过低：78213330
sh.688329,成交额过低：62173725
sh.688330,成交额过低：125965079
sh.688334,成交额过低：65534050
sh.688335,成交额过低：96519542
sh.688338,成交额过低：41795069
sh.688339,成交额过低：156605735
sh.688345,成交额过低：184642374
sh.688348,成交额过低：147588853
sh.688349,成交额过低：192516263
sh.688355,成交额过低：61266333
sh.688356,成交额过低：108475438
sh.688357,成交额过低：62413499
sh.688358,成交额过低：65767964
sh.688363,成交额过低：124775526
sh.688366,成交额过低：22873275
sh.688367,成交额过低：132997718
sh.688369,成交额过低：95785141
sh.688370,成交额过低：27065250
sh.688373,成交额过低：58709408
sh.688377,成交额过低：103845044
sh.688389,成交额过低：35765363
sh.688391,成交额过低：64766228
sh.688393,成交额过低：36237983
sh.688395,成交额过低：68856049
sh.688398,成交额过低：127573561
sh.688399,成交额过低：117847674
sh.688410,成交额过低：116220841
sh.688420,成交额过低：40337906
sh.688425,成交额过低：82473473
sh.688426,成交额过低：28563700
sh.688429,成交额过低：45051905
sh.688435,成交额过低：112398984
sh.688439,成交额过低：165552601
sh.688443,成交额过低：120886327
sh.688448,成交额过低：137449227
sh.688450,成交额过低：98871138
sh.688455,成交额过低：117300137
sh.688458,成交额过低：194641524
sh.688459,成交额过低：15733964
sh.688466,成交额过低：30542678
sh.688468,成交额过低：24801836
sh.688475,成交额过低：176147781
sh.688479,成交额过低：91377466
sh.688480,BaoStock错误：网络接收错误。
sh.688484,BaoStock错误：网络接收错误。
sh.688485,BaoStock错误：网络接收错误。
sh.688486,BaoStock错误：网络接收错误。
sh.688488,BaoStock错误：网络接收错误。
sh.688489,BaoStock错误：网络接收错误。
sh.688496,BaoStock错误：网络接收错误。
sh.688498,BaoStock错误：网络接收错误。
sh.688499,BaoStock错误：网络接收错误。
sh.688500,BaoStock错误：网络接收错误。
sh.688501,BaoStock错误：网络接收错误。
sh.688502,BaoStock错误：网络接收错误。
sh.688503,BaoStock错误：网络接收错误。
sh.688505,BaoStock错误：网络接收错误。
sh.688506,BaoStock错误：网络接收错误。
sh.688507,BaoStock错误：网络接收错误。
sh.688508,BaoStock错误：网络接收错误。
sh.688509,BaoStock错误：网络接收错误。
sh.688510,BaoStock错误：网络接收错误。
sh.688511,BaoStock错误：网络接收错误。
sh.688512,BaoStock错误：网络接收错误。
sh.688513,BaoStock错误：网络接收错误。
sh.688515,BaoStock错误：网络接收错误。
sh.688516,BaoStock错误：网络接收错误。
sh.688517,BaoStock错误：网络接收错误。
sh.688518,BaoStock错误：网络接收错误。
sh.688519,BaoStock错误：网络接收错误。
sh.688520,BaoStock错误：网络接收错误。
sh.688521,BaoStock错误：网络接收错误。
sh.688522,BaoStock错误：网络接收错误。
sh.688523,BaoStock错误：网络接收错误。
sh.688525,BaoStock错误：网络接收错误。
sh.688526,BaoStock错误：网络接收错误。
sh.688528,BaoStock错误：网络接收错误。
