code,code_name,ipoDate,outDate,type,status
sh.688786,悦安新材,2021-08-26,,1,1
sh.688787,海天瑞声,2021-08-13,,1,1
sh.688788,科思科技,2020-10-22,,1,1
sh.688789,宏华数科,2021-07-08,,1,1
sh.688790,昂瑞微,2025-12-16,,1,1
sh.688793,倍轻松,2021-07-15,,1,1
sh.688795,摩尔线程,2025-12-05,,1,1
sh.688796,百奥赛图,2025-12-10,,1,1
sh.688798,艾为电子,2021-08-16,,1,1
sh.688799,华纳药厂,2021-07-13,,1,1
sh.688800,瑞可达,2021-07-22,,1,1
sh.688802,沐曦股份,2025-12-17,,1,1
sh.688805,健信超导,2025-12-24,,1,1
sh.688807,优迅股份,2025-12-19,,1,1
sh.688808,联讯仪器,2026-04-24,,1,1
sh.688809,强一股份,2025-12-30,,1,1
sh.688811,有研复材,2026-04-10,,1,1
sh.688813,泰金新能,2026-03-31,,1,1
sh.688816,易思维,2026-02-11,,1,1
sh.688818,电科蓝天,2026-02-10,,1,1
sh.688819,天能股份,2021-01-18,,1,1
sh.688820,盛合晶微,2026-04-21,,1,1
sh.688981,中芯国际,2020-07-16,,1,1
