code,code_name,ipoDate,outDate,type,status
sh.688153,唯捷创芯,2022-04-12,,1,1
sh.688155,先惠技术,2020-08-11,,1,1
sh.688156,路德科技,2020-09-22,,1,1
sh.688157,松井股份,2020-06-09,,1,1
sh.688158,优刻得,2020-01-20,,1,1
sh.688159,有方科技,2020-01-23,,1,1
sh.688160,步科股份,2020-11-12,,1,1
sh.688161,威高骨科,2021-06-30,,1,1
sh.688162,巨一科技,2021-11-10,,1,1
sh.688163,赛伦生物,2022-03-11,,1,1
sh.688165,埃夫特,2020-07-15,,1,1
sh.688166,博瑞医药,2019-11-08,,1,1
sh.688167,炬光科技,2021-12-24,,1,1
sh.688168,安博通,2019-09-06,,1,1
sh.688169,石头科技,2020-02-21,,1,1
sh.688170,德龙激光,2022-04-29,,1,1
sh.688171,纬德信息,2022-01-27,,1,1
sh.688172,燕东微,2022-12-16,,1,1
sh.688173,希荻微,2022-01-21,,1,1
sh.688175,高凌信息,2022-03-15,,1,1
sh.688176,亚虹医药,2022-01-07,,1,1
sh.688177,百奥泰,2020-02-21,,1,1
sh.688178,万德斯,2020-01-14,,1,1
sh.688179,阿拉丁,2020-10-26,,1,1
sh.688180,君实生物,2020-07-15,,1,1
sh.688181,八亿时空,2020-01-06,,1,1
sh.688182,灿勤科技,2021-11-16,,1,1
sh.688183,生益电子,2021-02-25,,1,1
sh.688184,ST帕瓦,2022-09-19,,1,1
sh.688185,康希诺,2020-08-13,,1,1
sh.688186,广大特材,2020-02-11,,1,1
sh.688187,时代电气,2021-09-07,,1,1
sh.688188,柏楚电子,2019-08-08,,1,1
sh.688189,南新制药,2020-03-26,,1,1
sh.688190,云路股份,2021-11-26,,1,1
sh.688191,智洋创新,2021-04-08,,1,1
sh.688192,迪哲医药,2021-12-10,,1,1
sh.688193,仁度生物,2022-03-30,,1,1
sh.688195,腾景科技,2021-03-26,,1,1
sh.688196,卓越新能,2019-11-21,,1,1
sh.688197,首药控股,2022-03-23,,1,1
sh.688198,佰仁医疗,2019-12-09,,1,1
sh.688199,久日新材,2019-11-05,,1,1
sh.688200,华峰测控,2020-02-18,,1,1
sh.688201,ST信安,2021-04-21,,1,1
sh.688202,美迪西,2019-11-05,,1,1
sh.688203,海正生材,2022-08-16,,1,1
sh.688205,德科立,2022-08-09,,1,1
sh.688206,概伦电子,2021-12-28,,1,1
sh.688207,格灵深瞳,2022-03-17,,1,1
sh.688208,道通科技,2020-02-13,,1,1
sh.688209,英集芯,2022-04-19,,1,1
sh.688210,统联精密,2021-12-27,,1,1
sh.688211,中科微至,2021-10-26,,1,1
sh.688212,澳华内镜,2021-11-15,,1,1
sh.688213,思特威,2022-05-20,,1,1
sh.688215,瑞晟智能,2020-08-28,,1,1
sh.688216,气派科技,2021-06-23,,1,1
sh.688217,睿昂基因,2021-05-17,,1,1
sh.688218,江苏北人,2019-12-11,,1,1
sh.688219,会通股份,2020-11-18,,1,1
sh.688220,翱捷科技,2022-01-14,,1,1
sh.688221,前沿生物,2020-10-28,,1,1
sh.688222,成都先导,2020-04-16,,1,1
sh.688223,晶科能源,2022-01-26,,1,1
sh.688225,亚信安全,2022-02-09,,1,1
sh.688226,威腾电气,2021-07-07,,1,1
sh.688227,品高股份,2021-12-30,,1,1
sh.688228,开普云,2020-03-27,,1,1
sh.688229,博睿数据,2020-08-17,,1,1
sh.688230,芯导科技,2021-12-01,,1,1
sh.688231,隆达股份,2022-07-22,,1,1
sh.688232,新点软件,2021-11-17,,1,1
sh.688233,神工股份,2020-02-21,,1,1
sh.688234,天岳先进,2022-01-12,,1,1
sh.688235,百济神州,2021-12-15,,1,1
sh.688236,春立医疗,2021-12-30,,1,1
sh.688237,超卓航科,2022-07-01,,1,1
sh.688238,和元生物,2022-03-22,,1,1
sh.688239,航宇科技,2021-07-05,,1,1
sh.688244,永信至诚,2022-10-19,,1,1
sh.688246,嘉和美康,2021-12-14,,1,1
sh.688247,宣泰医药,2022-08-25,,1,1
sh.688248,南网科技,2021-12-22,,1,1
sh.688249,晶合集成,2023-05-05,,1,1
sh.688251,井松智能,2022-06-06,,1,1
sh.688252,天德钰,2022-09-27,,1,1
sh.688253,英诺特,2022-07-28,,1,1
sh.688255,凯尔达,2021-10-25,,1,1
sh.688256,寒武纪,2020-07-20,,1,1
sh.688257,新锐股份,2021-10-27,,1,1
sh.688258,卓易信息,2019-12-09,,1,1
sh.688259,创耀科技,2022-01-12,,1,1
sh.688260,昀冢科技,2021-04-06,,1,1
sh.688261,东微半导,2022-02-10,,1,1
sh.688262,国芯科技,2022-01-06,,1,1
sh.688265,南模生物,2021-12-28,,1,1
sh.688266,泽璟制药,2020-01-23,,1,1
sh.688267,中触媒,2022-02-16,,1,1
sh.688268,华特气体,2019-12-26,,1,1
sh.688269,凯立新材,2021-06-09,,1,1
sh.688270,ST臻镭,2022-01-27,,1,1
sh.688271,联影医疗,2022-08-22,,1,1
sh.688272,富吉瑞,2021-10-18,,1,1
sh.688273,麦澜德,2022-08-11,,1,1
sh.688275,万润新能,2022-09-29,,1,1
sh.688276,百克生物,2021-06-25,,1,1
sh.688277,天智航,2020-07-07,,1,1
sh.688278,特宝生物,2020-01-17,,1,1
sh.688279,峰岹科技,2022-04-20,,1,1
sh.688280,精进电动,2021-10-27,,1,1
sh.688281,华秦科技,2022-03-07,,1,1
sh.688282,理工导航,2022-03-18,,1,1
sh.688283,坤恒顺维,2022-02-15,,1,1
sh.688285,高铁电气,2021-10-20,,1,1
sh.688286,敏芯股份,2020-08-10,,1,1
sh.688287,*ST观典,2022-05-25,,1,1
sh.688288,鸿泉技术,2019-11-06,,1,1
sh.688289,圣湘生物,2020-08-28,,1,1
sh.688290,景业智能,2022-04-29,,1,1
sh.688291,金橙子,2022-10-26,,1,1
sh.688292,浩瀚深度,2022-08-18,,1,1
sh.688293,奥浦迈,2022-09-02,,1,1
sh.688295,中复神鹰,2022-04-06,,1,1
sh.688296,和达科技,2021-07-27,,1,1
sh.688297,中无人机,2022-06-29,,1,1
sh.688298,东方生物,2020-02-05,,1,1
sh.688299,长阳科技,2019-11-06,,1,1
sh.688300,联瑞新材,2019-11-15,,1,1
sh.688301,奕瑞科技,2020-09-18,,1,1
sh.688302,海创药业,2022-04-12,,1,1
sh.688303,大全能源,2021-07-22,,1,1
sh.688305,科德数控,2021-07-09,,1,1
sh.688306,均普智能,2022-03-22,,1,1
sh.688307,中润光学,2023-02-16,,1,1
sh.688308,欧科亿,2020-12-10,,1,1
sh.688309,恒誉环保,2020-07-14,,1,1
sh.688310,迈得医疗,2019-12-03,,1,1
sh.688311,盟升电子,2020-07-31,,1,1
sh.688312,燕麦科技,2020-06-08,,1,1
sh.688313,仕佳光子,2020-08-12,,1,1
sh.688314,康拓医疗,2021-05-18,,1,1
sh.688315,诺禾致源,2021-04-13,,1,1
sh.688316,青云科技,2021-03-16,,1,1
sh.688317,之江生物,2021-01-18,,1,1
sh.688318,财富趋势,2020-04-27,,1,1
sh.688319,欧林生物,2021-06-08,,1,1
sh.688320,禾川科技,2022-04-28,,1,1
sh.688321,微芯生物,2019-08-12,,1,1
sh.688322,奥比中光,2022-07-07,,1,1
sh.688323,瑞华泰,2021-04-28,,1,1
sh.688325,赛微微电,2022-04-22,,1,1
sh.688326,经纬恒润,2022-04-19,,1,1
sh.688327,云从科技,2022-05-27,,1,1
sh.688328,深科达,2021-03-09,,1,1
sh.688329,艾隆科技,2021-03-29,,1,1
sh.688330,宏力达,2020-10-15,,1,1
sh.688331,荣昌生物,2022-03-31,,1,1
sh.688332,中科蓝讯,2022-07-15,,1,1
sh.688333,铂力特,2019-07-22,,1,1
sh.688334,西高院,2023-06-19,,1,1
sh.688335,复洁科技,2020-08-17,,1,1
sh.688336,三生国健,2020-07-22,,1,1
sh.688337,普源精电,2022-04-08,,1,1
sh.688338,赛科希德,2020-08-06,,1,1
sh.688339,亿华通,2020-08-10,,1,1
sh.688343,云天励飞,2023-04-04,,1,1
sh.688345,博力威,2021-06-11,,1,1
